id	name	zone	POP2014	GDP2014	GDPPERINH
UGA	Uganda		38844624	26312.3993014086	677.3755694329
EST	Estonia	1	1313645	25904.8743123244	19719.8438789204
SLV	El Salvador		6383752	25220	3950.6547246823
TTO	Trinidad and Tobago		1344235	24433.8127003709	18176.7419389994
CYP	Cyprus	1	1153058	23226.1589861653	20143.0968660426
AFG	Afghanistan		31280518	20841.951231998	666.2917548871
NPL	Nepal		28120740	19636.1864693257	698.281285248
HND	Honduras		8260749	19385.3099858022	2346.6770368888
BIH	Bosnia and Herzegovina		3824746	18344.2782526116	4796.2082325497
BRN	Brunei Darussalam	1	423205	17256.7542691545	40776.3477963505
GAB	Gabon		1711294	17228.4433363648	10067.4947357759
ISL	Iceland	1	327589	17071.0044991576	52111.0431032715
KHM	Cambodia		15408270	16709.4324026502	1084.4457166606
GEO	Georgia		4504100	16529.9631874044	3669.9813919328
MOZ	Mozambique		26472977	16385.5849190022	618.9551299426
BWA	Botswana		2038587	15813.3710631566	7757.0253627422
SEN	Senegal		14548171	15578.9168653864	1070.850546463
PNG	Papua New Guinea		7476108	15413.1636749224	2061.6561016671
JAM	Jamaica		2721252	14362.2625849078	5277.814250539
GNQ	Equatorial Guinea		778061	14308.0942246898	18389.4247683534
COG	Congo. Rep.		4558594	14135.4625558413	3100.8382312269
TCD	Chad		13211146	13922.2245607939	1053.824139162
ZWE	Zimbabwe		14599325	13663.3142796683	935.8867125479
NAM	Namibia		2347988	13429.5032848968	5719.5791822176
ALB	Albania		2894475	13370.1915060031	4619.2112580012
SSD	South Sudan		11738718	13069.9912582682	1113.4087434649
PSE	West Bank and Gaza		4294682	12737.6131250175	2965.9036745951
MUS	Mauritius		1260934	12616.4210883821	10005.6157486293
BFA	Burkina Faso		17419615	12542.969275204	720.0485932211
MLI	Mali		15768227	12074.4730018115	765.7470305198
MNG	Mongolia		2881415	12015.9443365464	4170.1540168794
NIC	Nicaragua		6169269	11805.6412868034	1913.6207688145
LAO	Lao PDR		6894098	11771.7257976299	1707.5077548404
MKD	Macedonia. FYR		2108434	11323.7616235387	5370.6976948478
ARM	Armenia		2983990	10881.6050594369	3646.662709807
MDG	Madagascar		23571962	10593.1475269354	449.3960887488
MLT	Malta	1	427404	9642.8486501181	22561.4375394664
TJK	Tajikistan		8408947	9241.6278406075	1099.0232000044
BEN	Benin		10599510	8746.9927334997	825.2261409725
HTI	Haiti		10461409	8713.0312601893	832.8735890346
BHS	Bahamas. The		382571	8510.5	22245.5439643883
NER	Niger		18534802	8168.6958698664	440.7220465515
MDA	Moldova		3556400	7944.1849297501	2233.7714907632
RWA	Rwanda		12100049	7890.1903367496	652.079205361
KGZ	Kyrgyz Republic		5834200	7404.4127103055	1269.1393353511
KOS	Kosovo		1823149	7273.8490115431	3989.7172483122
GIN	Guinea		12043898	6624.0680369853	549.9937011244
BMU	Bermuda		65181	5573.71	85511.268621224
LIE	Liechtenstein	1	37194	5487.7734524402	147544.589246657
SUR	Suriname		543925	5298.7878787879	9741.7619686315
MRT	Mauritania		3984457	5061.1803710494	1270.2308924527
SLE	Sierra Leone		6205382	4892.3639792281	788.4065766182
MNE	Montenegro		621800	4583.1988854982	7370.857004661
TGO	Togo		6993244	4518.4439074451	646.1155806154
BRB	Barbados		286066	4348	15199.2896744108
MWI	Malawi		16829144	4258.0336153005	253.0154602813
FJI	Fiji		887027	4029.9897288257	4543.2548601403
ERI	Eritrea		6536176	3857.8211382114	590.226018732
SWZ	Swaziland		1267704	3400.4229362279	2682.3477217299
AND	Andorra	1	80153	3249.1006748401	40536.2328900987
GUY	Guyana		803677	3228.3728878581	4017.0029599679
BDI	Burundi		10482752	3093.6472934766	295.1178558337
MDV	Maldives		351572	3032.2394781196	8624.8036764007
FRO	Faeroe Islands		49460	2613.4589407021	52839.8491852418
SOM	Somalia		10805651	2370	219.3296822191
LSO	Lesotho		2097511	2088.021624112	995.4758874266
LBR	Liberia		4396873	2026.9395953154	460.9957111146
CPV	Cabo Verde		503637	1871.1873335031	3715.3492168032
BTN	Bhutan		765552	1821.4128728414	2379.2150929544
CAF	Central African Republic		4709203	1782.9279026729	378.6050214172
BLZ	Belize		339758	1624.29425	4780.7387905509
DJI	Djibouti		886313	1581.5197055307	1784.380580597
TLS	Timor-Leste		1212107	1552	1280.415012866
SYC	Seychelles		91526	1405.7641578818	15359.1783524007
LCA	St. Lucia		183598	1365.4265555556	7437.0448237756
ATG	Antigua and Barbuda		90903	1269.117037037	13961.2228093357
SLB	Solomon Islands		572865	1158.1830537603	2021.7381996811
GNB	Guinea-Bissau		1745798	1022.3719915347	585.6187207997
GRD	Grenada		106303	882.2222222222	8299.1281734497
KNA	St. Kitts and Nevis		54789	833.3333333333	15209.8657273054
GMB	Gambia. The		1908954	807.0694881916	422.7810037285
VUT	Vanuatu		258301	801.7875558611	3104.0822755666
WSM	Samoa		191831	800.5866712411	4173.3957037241
VCT	St. Vincent and the Grenadines		109371	728.6967037037	6662.6135237285
COM	Comoros		752438	647.7201024675	860.8285366602
DMA	Dominica		72341	537.7777777778	7433.9278939713
TON	Tonga		105782	434.3863076931	4106.4293329026
STP	São Tomé and Principe		197882	334.902362057	1692.4346936909
FSM	Micronesia. Fed. Sts.		103903	316.2457	3043.662839379
PLW	Palau		21097	250.6255627941	11879.6778117315
MHL	Marshall Islands		52772	190.9146	3617.7253088759
KIR	Kiribati		103942	166.7623236388	1604.3786307635
TUV	Tuvalu		9894	38.3223595289	3873.2928571727
