id	name	zone	POP2014	GDP2014	GDPPERINH
USA	United States	1	318857056	17419000	54629.4951678912
CHN	China		1364270000	10360105.2479083	7593.8818913473
JPN	Japan	1	127131800	4601461.20688508	36194.4156134427
DEU	Germany	1	80889505	3852556.16965601	47627.3920783173
GBR	United Kingdom	1	64510376	2941885.53746148	45603.2923674399
FRA	France	1	66201365	2829192.03917184	42736.1586754569
BRA	Brazil		202033670	2346118.17519426	11612.5108017602
ITA	Italy	1	61336387	2144338.1850646	34960.2950213647
IND	India		1267401849	2066902.39733326	1630.8185118746
RUS	Russian Federation		143819569	1860597.92276344	12937.02891547
CAN	Canada	1	35540419	1786655.06450953	50271.0748713888
AUS	Australia	1	23490736	1453770.21067204	61886.9587854565
KOR	Korea. Rep.	1	50423955	1410382.94397278	27970.4942615624
ESP	Spain	1	46404602	1404306.53605792	30262.2256313699
MEX	Mexico		123799215	1282719.95486176	10361.293121784
IDN	Indonesia		252812245	888538.201025345	3514.6169483418
NLD	Netherlands	1	16854183	869508.125480255	51590.0489202149
TUR	Turkey		75837020	799534.963353895	10542.8056555215
SAU	Saudi Arabia		29369428	746248.533333333	25409.0251037008
CHE	Switzerland	1	8190229	685434.208916934	83689.2605709723
SWE	Sweden	1	9689555	570591.266159776	58887.2519078302
NGA	Nigeria		178516904	568508.262377799	3184.6186531321
POL	Poland	1	37995529	548003.360278967	14422.8380207305
ARG	Argentina		41803125	540197.457443535	12922.4180595
BEL	Belgium	1	11225207	533382.785676064	47516.5211364088
VEN	Venezuela. RB		30851343	509964.084931332	16529.7207622803
TWN	Taiwan		23434000	505500	21571.2213023812
NOR	Norway	1	5136475	500103.094419465	97363.0932535377
AUT	Austria	1	8534492	436343.622435169	51127.0761558121
IRN	Iran. Islamic Rep.		78470222	415338.504536257	5292.944176152
ARE	United Arab Emirates		9445624	401646.583173427	42521.9745326965
COL	Colombia		48929706	377739.622865838	7720.046853865
THA	Thailand		67222972	373804.134911797	5560.660646063
ZAF	South Africa		54001953	349817.096206474	6477.8600915873
DNK	Denmark	1	5639565	341951.607730409	60634.3942716165
MYS	Malaysia		30187896	326933.043800609	10829.9380586381
SGP	Singapore	1	5469700	307871.907185983	56286.7994928393
ISR	Israel		8215300	304226.336270324	37031.6770258328
HKG	Hong Kong SAR. China	1	7241700	290896.409543744	40169.6299962362
EGY	Egypt. Arab Rep.		83386739	286538.047765904	3436.2543877139
PHL	Philippines		100096496	284582.023120566	2843.0767758401
FIN	Finland	1	5463596	270673.584161517	49541.2882214419
CHL	Chile		17772871	258061.522886545	14519.9682643589
PAK	Pakistan		185132926	246876.324188576	1333.5084661741
IRL	Ireland	1	4612719	245920.712756466	53313.6123740609
GRC	Greece	1	10957740	237592.274370978	21682.598270353
PRT	Portugal	1	10397393	229583.711490434	22080.8919592088
IRQ	Iraq		34278364	220505.682865352	6432.7948342387
DZA	Algeria		39928947	214063.17318756	5361.1023898917
KAZ	Kazakhstan		17289111	212247.913268304	12276.3925379566
QAT	Qatar		2267916	211816.758241758	93397.0915332658
CZE	Czech Republic	1	10510566	205522.871251355	19553.9299454811
PER	Peru		30769077	202902.760292698	6594.3726648901
ROU	Romania	1	19910995	199043.652215454	9996.670292743
NZL	New Zealand	1	4509700	188384.85962676	41773.2575618689
VNM	Vietnam		90730000	186204.652922262	2052.2942017223
KWT	Kuwait		3479371	175826.716255725	50534.0523490381
BGD	Bangladesh		158512570	173818.93221565	1096.562450635
HUN	Hungary	1	9861673	137103.927312973	13902.7046742447
UKR	Ukraine		45362900	131805.126738287	2905.5710004935
AGO	Angola		22137261	131400.635026055	5935.72235635
MAR	Morocco		33492909	107004.98435697	3194.854897703
PRI	Puerto Rico		3548397	103134.778	29065.1744999221
ECU	Ecuador		15982551	100543.173	6290.8088327076
SVK	Slovak Republic	1	5418506	99790.1456527711	18416.5424293654
OMN	Oman		3926492	81796.6189856957	20831.9841185709
CUB	Cuba		11258597	77149.7	6852.5145717535
BLR	Belarus		9470000	76139.2503645185	8040.0475569713
AZE	Azerbaijan		9537823	75198.0109651919	7884.1902355697
LKA	Sri Lanka		20639000	74941.1832419535	3631.0472039321
SDN	Sudan		38764090	73815.376184622	1904.2205346397
MMR	Myanmar		53718958	64330.0386647327	1197.5295325857
DOM	Dominican Republic		10528954	63968.9615630973	6075.5286387515
UZB	Uzbekistan		30742500	62643.9530217594	2037.6987239736
KEN	Kenya		45545980	60936.5097779628	1337.9119250033
LUX	Luxembourg	1	556074	60130.8476236353	108134.614500292
GTM	Guatemala		15859714	58728.2323271514	3702.9818020143
URY	Uruguay		3418694	57471.2773251312	16810.8866500281
HRV	Croatia	1	4236400	57222.5740231725	13507.3586118338
BGR	Bulgaria	1	7226291	55734.6764346764	7712.7639109298
MAC	Macao SAR. China	1	575481	55501.5325281462	96443.7271224353
ETH	Ethiopia		96506031	54797.6796575454	567.8161156327
CRI	Costa Rica		4937755	49552.5806831461	10035.4474215805
SVN	Slovenia	1	2062218	49416.0556092127	23962.5760269829
TZA	Tanzania		50757459	49183.8848174917	968.9981686729
LTU	Lithuania	1	2929323	48172.2425172682	16444.8381135396
TKM	Turkmenistan		5307171	47931.9298245614	9031.5404995546
TUN	Tunisia		10996600	46994.8040357204	4273.5758357784
PAN	Panama		3926017	46212.6	11770.8609005004
LBN	Lebanon		4510301	45730.9452736318	10139.222476201
SRB	Serbia		7129428	43866.4231669368	6152.867125797
LBY	Libya		6253452	41119.1449229802	6575.4314453809
GHA	Ghana		26442178	38648.1541003714	1461.6100875038
YEM	Yemen. Rep.		24968508	35954.5023035041	1439.9940238121
JOR	Jordan		6607000	35826.9257746479	5422.5708755332
CIV	Côte d'Ivoire		20804774	34253.6110983199	1646.430338456
BOL	Bolivia		10847664	34175.8321273517	3150.52458551
BHR	Bahrain		1344111	33868.9893617021	25198.059804363
COD	Congo. Dem. Rep.		69360118	32962.2611556762	475.2336372276
PRK	Korea. Dem. Rep.		25026588	32700	1306.6103937141
CMR	Cameroon		22818632	32548.5912858631	1426.4041457815
LVA	Latvia	1	1990351	31920.8156483043	16037.7821039125
SYR	Syrian Arab Republic		23300738	31900	1369.055349234
PRY	Paraguay		6917579	30984.7478633426	4479.131768982
ZMB	Zambia		15021002	27066.2300091016	1801.8924442658
