id	emp2008	act2008	unemp2008	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
AT1	1713.9	1803.7	89.8	33675	34385	84369	115416	3349729	3552632
AT2	850	879.8	29.9	14973	17110	34322	47089	1744312	1765269
AT3	1526	1568.6	42.6	29104	23588	68071	96716	2888420	3000691
BE1	398	473.4	75.4	17925	9517	42614	57332	954460	1048491
BE2	2727.3	2838.8	111.5	69559	57760	128555	177998	5926838	6161600
BE3	1320.6	1467.1	146.4	39721	37310	52861	72812	3332454	3456775
BG3	1632.2	1764.1	131.9	39972	61343	19492	32856	4398511	3979885
BG4	1728.5	1796.3	67.9	37740	49180	20746	50066	3831860	3660353
CH0	4228.8	4375.4	146.6	76691	61233	186180	273871	7123537	7593494
CY0	382.9	397.4	14.5	9205	5194	10684	19316	682862	789269
CZ0	5002.5	5232.3	229.8	119570	104948	127323	210336	10289621	10381130
DE1	5414.6	5651.4	236.9	91909	96431	256839	348389	10426040	10749755
DE2	6327	6606.9	280	106298	121109	305438	424504	12086548	12520332
DE3	1514.1	1783.5	269.4	31936	31911	69170	84540	3398822	3416255
DE4	1227.1	1386	158.9	18808	26807	38720	51886	2590375	2535737
DE5	287.7	318	30.3	5569	7353	18955	26179	667965	663082
DE6	866.5	932.2	65.7	16751	17091	62685	83488	1700089	1770629
DE7	2892.4	3090.7	198.3	51752	60083	159384	211244	6035137	6072555
DE8	778.3	911.4	133.2	13098	17818	26437	34066	1798689	1679682
DE9	3614.5	3889.3	274.8	64887	84874	155194	203364	7865840	7971684
DEA	8114.3	8759.3	645	150007	189586	395825	522538	17975516	17996621
DEB	1932.8	2047.8	115	32223	42932	79033	101514	4024969	4045643
DEC	458.1	493.1	35.1	7158	12547	21304	29636	1074223	1036598
DED	1939.3	2225.6	286.3	34411	48997	66995	90589	4489415	4220200
DEE	1084.1	1268.8	184.7	17697	29905	37903	51269	2674490	2412472
DEF	1337.4	1434.9	97.6	22678	30719	56203	70566	2766057	2837373
DEG	1091.7	1221.8	130	17332	26276	35372	48080	2462836	2289219
DK0	2853.8	2951.8	98	65038	54591	123949	169250	5313577	5475791
EE0	656.5	694.9	38.4	16028	16675	10443	22812	1379237	1340935
ES1	1912.2	2088.7	176.5	37282	47892	59807	101852	4285691	4364827
ES2	2043	2191.9	148.9	45532	40983	81874	139495	4073052	4354327
ES3	3064.4	3356	291.6	78792	41270	119799	209518	5128470	6189297
ES4	2320.3	2616.4	296.1	55084	56000	73608	122815	5253279	5558364
ES5	6230.5	6941.3	710.8	159045	107657	213268	364366	10948521	13175534
ES6	3825.5	4611.1	785.6	122096	76934	108632	195590	8470808	9599442
FI1	2515.7	2687.5	171.8	59236	48844	104700	155722	5134021	5273331
FI2	15.2	15.6	0.3	294	250	738	981	25625	27153
FR1	5321.4	5732.8	411.5	180668	70340	349819	490946	10946012	11659260
FR2	4438.9	4781	342.1	130570	101333	190324	245950	10454824	10707970
FR3	1498.7	1691	192.3	56474	36157	64469	87414	3997467	4024490
FR4	2261.3	2439.6	178.3	63861	44615	94722	121874	5161496	5347379
FR5	3471.6	3704.9	233.3	102184	78014	137874	196983	7763770	8412579
FR6	2842.5	3049.5	206.9	73329	65699	110942	160746	6168494	6756596
FR7	3128.7	3351.3	222.6	95329	61029	140495	194553	6949608	7459092
FR8	2948.6	3231.9	283.3	92093	73099	124530	184070	7054942	7767597
GR1	1402.8	1536.8	134	37761	35585	49408	70108	3494849	3571942
GR2	985.5	1079.1	93.7	23642	26725	34945	51599	2424483	2467760
GR3	1720.1	1838.8	118.7	42899	34858	59426	115026	3857562	4061326
GR4	451	482.5	31.5	13611	10300	16573	26992	1084508	1112757
HR0	1635.5	1784.7	149.2	43753	52151	39274	69874	4553769	4436401
HU1	1246.9	1307.1	60.2	30552	35370	42067	78054	2859975	2897317
HU2	1219.6	1308.6	89	28032	39186	29179	42318	3130393	3062868
HU3	1412.9	1592.9	180	39768	54802	28388	41768	4262933	4085216
IE0	2101.2	2235.9	134.7	75065	28192	84087	147840	3732201	4401335
IS0	177.1	182.4	5.4	4835	1987	6866	9726	275712	315459
ITC	6943.3	7250.7	307.4	151969	161991	386560	498588	14893675	15779473
ITD	5122.9	5303.9	181	111916	115351	268001	354089	10491297	11337470
ITE	4856.9	5173.9	317	113273	120564	252383	340527	10887180	11675578
ITF	4390.5	4955.1	564.6	136194	124984	193159	243493	13994932	14131469
ITG	2091.1	2412.9	321.8	63307	62236	91327	116630	6646550	6695300
LI0	17.758	18.175	0.417	350	205	1846	2759	32015	35356
LT0	1520	1614.3	94.3	35065	43832	24439	51348	3536401	3366357
LU0	202.4	213.1	10.8	5596	3595	18276	34176	427350	483799
LV0	1124.5	1215.1	90.5	23948	31006	15333	32013	2399248	2270894
MK0	609.015	919.424	310.409	22945	18982	9619	17470	2012705	2045177
MT0	160.3	170.6	10.3	4126	3243	5589	8026	378518	410290
NL1	857.2	887.8	30.6	17848	15365	34553	58790	1648303	1704783
NL2	1827.9	1878.1	50.2	40207	27431	65426	98275	3283690	3482551
