id	emp2008	act2008	unemp2008	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
NL3	4055.8	4167.2	111.4	91191	62316	188777	279111	7351221	7669533
NL4	1851.8	1902.6	50.8	35388	30024	79600	113994	3477011	3548532
NO0	2513.7	2579.5	65.8	60497	41712	97789	169965	4445329	4737171
PL1	3811	4064.1	253.1	84226	84746	87606	148935	7730206	7744386
PL2	3143	3357.7	214.7	83846	77743	68463	110665	8098333	7933151
PL3	2945	3209.1	264.1	69914	67185	43184	68189	6911684	6731761
PL4	2280.2	2452.8	172.6	70467	57039	52841	83735	6105747	6087634
PL5	1533.4	1675.4	142	39024	40274	34299	55976	4071714	3915498
PL6	2087.2	2251.4	164.2	67022	52412	44571	69710	5749299	5703211
PT1	4968.1	5381.2	413.1	99057	99401	140659	196090	9669603	10126880
RO1	2155.1	2295.2	140.1	56866	59426	25448	56450	5342178	5248804
RO2	2829.2	2998.5	169.4	70969	73648	25578	54158	6625987	6548309
RO3	2517.6	2661.6	144	55896	67451	33047	95753	5634457	5534038
RO4	1867.3	1989.3	122.1	38169	52677	20929	44943	4343809	4197476
SE1	1787.7	1899.8	112.1	45317	31220	84966	123216	3275778	3484045
SE2	1997.2	2132.2	135	46848	40460	79758	113255	3833181	3995301
SE3	808.1	866.4	58.3	17136	19769	34339	47529	1745363	1703581
SI0	996.1	1041.6	45.5	21817	18308	28477	46135	1978334	2010269
SK0	2433.7	2689.4	255.7	57360	53164	48579	98037	5393382	5400998
TR1	3921.7	4357.1	435.4	220464	NA	105249	229459	9692578.92	12573836
TR2	1093.5	1189.1	95.6	35903	NA	21145	40476	2862646.92	3052555
TR3	2940.8	3245	304.2	134320	NA	65655	114226	8792954.83	9299322
TR4	2114.5	2340.6	226.1	100665	NA	51635	106087	5623981.45	6417153
TR5	2081.4	2317.4	236	114111	NA	52205	90364	6306990.13	6651887
TR6	2667.1	3041	373.9	170698	NA	52971	86371	8516633.36	8906427
TR7	931.2	1027.2	96	65913	NA	19774	32044	4149714.78	3776927
TR8	1674.5	1780.5	106	62935	NA	24795	40623	4893400.59	4477457
TR9	1074.4	1122.8	48.4	33915	NA	13902	21946	3101523.37	2488652
TRA	659.7	694.6	34.9	44086	NA	7243	12444	2490476.96	2212759
TRB	777.2	887.9	110.7	80261	NA	11569	19476	3656487.09	3558432
TRC	1256.8	1467.7	210.8	199062	NA	21770	36353	6444553.02	7170849
UKC	1151.5	1245.7	94.2	30217	27033	41763	57328	2555600	2565542
UKD	3150.7	3376.5	225.9	88167	70252	125312	169255	6782700	6868896
UKE	2448.4	2606.2	157.8	66353	50251	90795	125142	4957100	5199610
UKF	2158	2289.1	131.2	54192	41983	78570	110980	4142600	4413205
UKG	2471.2	2647	175.8	71726	51859	100370	131130	5271700	5393394
UKH	2810.5	2951	140.4	71738	52349	105228	154932	5320400	5683035
UKI	3758.7	4044	285.3	127651	49987	241107	376451	7109700	7635286
UKJ	4207.3	4395.7	188.4	104023	75869	178154	253762	7921900	8332006
UKK	2555.9	2664.1	108.2	58742	53088	94169	136145	4865200	5194442
UKL	1340.5	1425.3	84.8	35650	31748	47065	63658	2900000	2983113
UKM	2527.9	2652	124.1	60041	55700	100595	144803	5119200	5156298
UKN	783.4	819.7	36.3	25631	14907	27972	40318	1691824	1767300
