id	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
BE327	1443	1721	2193	3124	140631.77	142931
BE331	1249	1099	1357	2081	99346.3	105770
BE332	7082	6883	10439	14121	586904.71	597478
BE334	826	778	767	973	67576.61	73905
BE335	2400	2019	3183	3889	193996.52	202400
BE336	578	690	1231	1597	70434.87	74169
BE341	583	499	961	1184	51587.28	56392
BE342	579	407	505	774	40205.67	44012
BE343	652	539	826	1177	49829.61	53593
BE344	775	617	849	1231	55384.55	58726
BE345	569	541	664	719	48132.89	51361
BE351	1217	1154	1253	1635	98944.39	104719
BE352	3554	2954	4736	6850	281120.79	296494
BE353	673	719	678	889	61139.83	64167
BG311	815	2433	488	677	141455	112604
BG312	1372	3106	632	1033	193904.06	161161
BG313	1734	3625	1278	1770	260983.12	202711
BG314	2716	5213	1207	1886	320173.39	297928
BG315	1397	2665	717	1147	177971.44	155468
BG321	2420	4610	1197	1891	302077.27	278764
BG322	1078	2250	711	1164	155078.9	133218
BG323	2183	3838	1198	2228	276575.91	253008
BG324	1299	1881	553	881	167665.71	136062
BG325	1191	1956	540	776	154218.21	130898
BG331	5607	5764	2153	5647	439173.51	459613
BG332	2057	2920	1066	1405	229430.39	203138
BG333	2106	2900	849	1392	217674.56	196559
BG334	1363	2037	541	855	146522.53	132771
BG341	4908	5620	2368	4332	426279.68	420095
BG342	2727	2910	988	1180	231556.12	207786
BG343	1425	2360	753	840	170318.46	142475
BG344	3574	5255	2255	3751	387452.74	355626
BG411	14381	15185	10592	31117	1205127.02	1240788
BG412	2194	4130	1173	2153	262498.58	256511
BG413	3557	3791	1338	2449	346280.78	329309
BG414	1102	2400	572	1676	154870.25	138773
BG415	1213	2500	815	972	172968.37	149187
BG421	7257	9753	2920	5747	727624.82	705121
BG422	2282	4034	1066	1757	293759.91	261726
BG423	3006	4007	1145	2121	315812.85	294086
BG424	989	1550	533	1065	147320.45	128200
BG425	1759	1830	593	1008	205596.98	156652
CH011	7520	5242	16118	24028	611613	672039
CH012	2880	2381	5446	7990	274458	298580
CH013	4787	3065	12201	17973	398910	438177
CH021	9020	8777	20887	30481	941144	962982
CH022	2895	1762	4947	7155	232086	263241
CH023	2184	2186	5554	7942	243450	250240
CH024	1723	1585	3765	5605	165594	169782
CH025	654	608	1325	1893	68995	69555
CH031	1656	2148	8122	12949	190505	185227
CH032	2348	2115	6783	9827	256761	269145
CH033	5915	4039	13397	19574	536462	581562
CH040	14480	10163	39172	58979	1187609	1307567
CH051	330	393	1153	1734	38698	38237
CH052	612	710	1913	2817	73725	74527
CH053	489	499	1236	1648	53816	52654
CH054	166	139	350	463	14873	15471
CH055	4664	3726	10126	14652	444891	465937
CH056	1597	1631	4418	6383	186118	188762
CH057	2187	1942	5138	7367	226479	238316
CH061	3815	2739	7492	10801	343254	363475
CH062	331	306	801	1162	35612	34989
CH063	1542	1048	3455	4559	126479	141024
CH064	354	275	611	888	31989	33997
CH065	386	293	1123	1681	37320	40287
CH066	1164	666	3944	6127	96517	109141
CH070	2992	2795	6701	9195	306179	328580
CY000	9205	5194	10684	19316	682862	789269
CZ010	14339	12269	28790	52877	1193270	1212097
CZ020	15246	12255	12840	22617	1108465	1201827
CZ031	7155	6347	7222	10785	626634	633264
CZ032	6385	5785	6362	9702	552553	561074
CZ041	3562	3023	3145	4291	304831	307449
CZ042	10031	8809	8684	13506	826852	831180
CZ051	5220	4295	4740	6402	429080	433948
CZ052	6254	5526	6378	9336	552481	552212
CZ053	5752	5087	5390	8616	509353	511400
CZ063	5649	4881	5316	8151	515127	513677
CZ064	13196	11262	13136	22437	1145314	1140534
CZ071	7118	6433	6365	9747	645123.61	641791
