id	emp2008	act2008	unemp2008	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
DEB3	966.7	1024.5	57.7	16213	20791	41699	53137	2002179	2021752
DEC0	458.1	493.1	35.1	7158	12547	21304	29636	1074223	1036598
DED1	686.2	781	94.9	11163	19202	23319	31031	1654765	1503723
DED2	755.2	860.7	105.5	14026	18077	26203	35768	1735992	1646716
DED3	497.8	583.8	86	9222	11718	17473	23791	1098658	1069761
DEE0	1084.1	1268.8	184.7	17697	29905	37903	51269	2674490	2412472
DEF0	1337.4	1434.9	97.6	22678	30719	56203	70566	2766057	2837373
DEG0	1091.7	1221.8	130	17332	26276	35372	48080	2462836	2289219
DK01	895	928.1	33	21375	16389	46147	62849	1594067.72	1645825
DK02	410	423.5	13.5	8581	8972	13857	18974	804257.82	819427
DK03	599	619	20.1	13650	11955	25508	34499	1169187.53	1194659
DK04	655	676.1	21.1	14963	11135	26471	36413	1173824.73	1237041
DK05	294.8	305.2	10.3	6469	6140	11966	16516	572239.21	578839
EE00	656.5	694.9	38.4	16028	16675	10443	22812	1379237	1340935
ES11	1200.1	1314.8	114.7	23175	29629	36351	61016	2689042	2735078
ES12	451.5	493.2	41.7	8221	12741	15037	25762	1067081	1059136
ES13	260.6	280.7	20.1	5886	5522	8419	15074	529568	570613
ES21	995.3	1063.9	68.6	21310	19433	43492	73737	2069723	2138739
ES22	289.4	310.2	20.8	7029	5292	11790	20057	542559	606234
ES23	146.7	159.1	12.4	3518	2860	5195	8723	265274	311773
ES24	611.6	658.7	47.1	13675	13398	21397	36978	1195496	1297581
ES30	3064.4	3356	291.6	78792	41270	119799	209518	5128470	6189297
ES41	1068.1	1180.3	112.2	21311	27392	38653	63087	2475112	2501860
ES42	842.9	953.5	110.5	23038	18167	23460	40002	1719480	1977596
ES43	409.3	482.6	73.4	10735	10441	11495	19727	1058687	1078908
ES51	3494.6	3840.4	345.8	89249	60110	129995	219987	6182921	7238051
ES52	2226.2	2533.4	307.2	57083	40059	66068	114862	3966639	4892475
ES53	509.8	567.6	57.8	12713	7488	17206	29517	798961	1045008
ES61	3149.7	3833.3	683.6	100293	65583	90440	161619	7202974	8046131
ES62	627.6	718.4	90.8	19386	10399	16213	30567	1132821	1411623
ES63	26	31.5	5.4	1165	497	1034	1768	70846	71989
ES64	22.1	27.9	5.8	1252	455	945	1635	64167	69699
FI13	272.8	299.7	26.9	5973	7566	10162	14613	691317	657257
FI18	1337.9	1413.6	75.6	29812	22474	60232	88893	2495947	2632744
FI19	623.3	666.5	43.2	15035	13220	23838	35663	1317263	1344565
FI1A	281.6	307.7	26	8416	5584	10468	16553	629494	638765
FI20	15.2	15.6	0.3	294	250	738	981	25625	27153
FR10	5321.4	5732.8	411.5	180668	70340	349819	490946	10946012	11659260
FR21	545.4	592.7	47.3	16345	12607	26090	32863	1343266	1338004
FR22	800	865.1	65.1	25268	17182	31906	40027	1857981	1906601
FR23	739.3	811.6	72.2	23758	15990	33500	44209	1780502	1825667
FR24	1057.7	1122.2	64.4	30533	24360	45275	59101	2440295	2531588
FR25	630.4	675.8	45.5	16752	13981	24218	31642	1421947	1467522
FR26	666.1	713.6	47.5	17914	17213	29335	38108	1610833	1638588
FR30	1498.7	1691	192.3	56474	36157	64469	87414	3997467	4024490
FR41	948.7	1036.2	87.5	27006	20799	39073	50466	2311655	2346361
FR42	844.5	899.7	55.2	22140	13886	35729	45882	1732588	1837087
FR43	468.1	503.7	35.6	14715	9930	19920	25526	1117253	1163931
FR51	1456.3	1555.9	99.6	45483	29643	59255	84828	3219960	3510170
FR52	1294.5	1370.9	76.4	37659	30547	50850	73561	2904075	3149701
FR53	720.8	778.2	57.3	19042	17824	27769	38595	1639735	1752708
FR61	1307	1411.2	104.2	34163	30407	52816	76601	2906748	3177625
FR62	1226.8	1310.7	83.9	31983	26270	46231	68334	2550275	2838228
FR63	308.7	327.6	18.9	7183	9022	11895	15811	711471	740743
FR71	2582.5	2766	183.5	81477	46483	117697	164717	5640234	6117229
FR72	546.2	585.2	39	13852	14546	22798	29836	1309374	1341863
FR81	943.5	1047	103.5	30326	24847	36779	54368	2292405	2581718
FR82	1912.3	2083.5	171.3	58828	45448	83689	123336	4502385	4882913
FR83	92.9	101.4	8.5	2939	2804	4063	6365	260152	302966
GR11	235.8	258.2	22.4	6326	6502	7037	10078	602746	606684
GR12	764.3	833.6	69.4	20972	18000	27993	39471	1855757	1935660
GR13	106.6	121.8	15.2	2696	3077	4519	6193	293936	293519
GR14	296.2	323.2	27	7767	8006	9860	14366	742410	736079
GR21	135.3	150.2	14.9	3152	3791	3983	6486	336164	351786
GR22	93.6	102.3	8.7	2341	2506	2780	5172	207573	228572
GR23	280.1	309.9	29.9	7197	7320	8247	13493	721621	738955
GR24	221.6	242.2	20.6	5338	6112	11467	13948	561389	555069
GR25	254.8	274.5	19.6	5614	6996	8468	12500	597736	593378
GR30	1720.1	1838.8	118.7	42899	34858	59426	115026	3857562	4061326
GR41	71.8	75.1	3.4	1971	2323	2791	3984	204629	200517
GR42	122.5	133.3	10.8	3631	2417	5150	8700	293128	305966
GR43	256.7	274	17.3	8009	5560	8633	14308	586751	606274
HR01	701.4	737.9	36.5	17272	19185	17994	32725	1676136.02	1669999
HR02	444.9	510.9	65.9	12422	17198	9102	14881	1406041.7	1300844
HR03	489.1	536	46.8	14059	15768	12177	22268	1471822.28	1465558
HU10	1246.9	1307.1	60.2	30552	35370	42067	78054	2859975	2897317
HU21	459.4	487.8	28.4	10472	13722	10321	16047	1121800	1104841
HU22	424.7	446.8	22	8994	12643	11256	15689	1005942	997939
HU23	335.5	374.1	38.5	8566	12821	7602	10582	1002651	960088
HU31	410.2	473.5	63.3	12226	17232	8378	12247	1307946	1236690
HU32	513.1	582.8	69.7	15591	19314	9866	15146	1567827	1514020
HU33	489.6	536.6	47	11951	18256	10144	14375	1387160	1334506
IE01	537.5	578.2	40.7	19652	8257	15459	27760	983495	1179280
IE02	1563.8	1657.7	94	55413	19935	68628	120079	2748706	3222055
IS00	177.1	182.4	5.4	4835	1987	6866	9726	275712	315459
ITC1	1884.9	1985.1	100.2	39551	49310	99568	125837	4232495	4401266
ITC2	56.9	58.8	1.9	1296	1255	2913	3847	118615	125979
ITC3	650.6	687.5	36.9	12450	21671	33351	43722	1597964	1609822
ITC4	4350.9	4519.3	168.4	98672	89755	250728	325181	8944601	9642406
ITD1	235.2	240.9	5.7	5462	3863	12511	16996	455859	493910
ITD2	227.4	235.1	7.7	5423	4675	12124	15859	467025	513357
ITD3	2159.1	2238.2	79.1	48615	44778	111346	148001	4464206	4832340
ITD4	521.6	545	23.3	10501	14370	27177	35843	1177047	1222061
ITD5	1979.6	2044.8	65.2	41915	47665	104843	137391	3927160	4275802
ITE1	1577.4	1661	83.6	33610	42222	79740	105081	3490565	3677048
ITE2	375.9	394.9	19	8271	10202	16668	21650	818737	884450
ITE3	657.4	689.5	32.1	14637	16437	30191	41294	1452150	1553063
ITE4	2246.2	2428.5	182.3	56755	51703	125783	172503	5125728	5561017
ITF1	518	554.3	36.3	11743	13720	22042	28458	1260492	1323987
ITF2	114.2	125.6	11.4	2507	3555	4953	6447	324125	320838
ITF3	1680.6	1922.5	241.9	60742	49561	74602	95428	5722729	5811390
ITF4	1286.8	1455.3	168.5	38284	34180	55869	68901	4042633	4076546
ITF5	195.8	220.2	24.4	4923	5585	9161	11302	603507	591001
ITF6	595.2	677.2	82	17995	18383	26533	32956	2041446	2007707
ITG1	1480.2	1716.9	236.8	49837	47762	65550	83754	5004493	5029683
ITG2	610.9	696	85.1	13470	14474	25777	32875	1642057	1665617
LI00	17.758	18.175	0.417	350	205	1846	2759	32015	35356
LT00	1520	1614.3	94.3	35065	43832	24439	51348	3536401	3366357
LU00	202.4	213.1	10.8	5596	3595	18276	34176	427350	483799
LV00	1124.5	1215.1	90.5	23948	31006	15333	32013	2399248	2270894
MK00	609.015	919.424	310.409	22945	18982	9619	17470	2012705	2045177
MT00	160.3	170.6	10.3	4126	3243	5589	8026	378518	410290
NL11	293.4	305.5	12.2	5908	5278	14015	28494	559988	573459
NL12	325.4	335	9.6	7026	5574	11800	17666	621222	643189
NL13	238.4	247.2	8.8	4914	4513	8738	12631	467093	488135
NL21	590.4	606	15.6	13411	9110	21829	32559	1070444	1119994
NL22	1037.2	1064.8	27.6	21695	16352	38226	55959	1906778	1983869
NL23	200.3	207.3	7	5101	1969	5372	9757	306468	378688
NL31	653.2	666.9	13.7	15456	8643	32609	47375	1098722	1201350
NL32	1418.4	1455.6	37.1	30845	21299	68147	100530	2503158	2626163
NL33	1796.4	1851.7	55.3	40983	28719	80534	119467	3378770	3461435
NL34	187.7	193.1	5.3	3907	3655	7487	11738	370571	380585
NL41	1286.6	1317.4	30.8	25987	19446	55461	80899	2337709	2424827
NL42	565.2	585.2	19.9	9401	10578	24139	33095	1139302	1123705
NO01	612.5	630.7	18.2	16214	8254	31795	54836	963431	1079051
NO02	183.4	187.9	4.5	3717	4218	5979	9833	368560	372926
NO03	467	479.8	12.8	10127	8910	15244	26102	856266	909842
NO04	366.2	372.9	6.7	9482	5347	13677	24809	624544	684761
NO05	436.1	445.6	9.5	10305	7092	15844	28943	782068	815705
NO06	215.4	222.6	7.3	5271	3582	7222	12593	387652	412849
NO07	233.1	239.9	6.8	5381	4309	8029	12850	462808	462037
PL11	1331.8	1427.1	95.2	25512	31498	20595	33467	2663608	2555898
PL12	2479.2	2637.1	157.9	58714	53248	67011	115468	5066598	5188488
PL21	1321.6	1408.2	86.7	36852	29727	23978	39925	3215885	3279036
PL22	1821.4	1949.5	128.1	46994	48016	44484	70740	4882448	4654115
PL31	985	1080.3	95.4	23009	23428	13602	21159	2239500	2166213
PL32	873.3	951.1	77.8	22224	18225	13088	20406	2122164	2097338
PL33	590.2	647.1	56.9	12736	13891	8761	14357	1326218	1275550
PL34	496.5	530.6	34.1	11945	11641	7732	12267	1223802	1192660
PL41	1298	1382.2	84.2	40925	31146	30098	49899	3351422	3386882
PL42	565.8	625.3	59.5	18191	16321	14820	21639	1731804	1692271
PL43	416.4	445.3	28.9	11351	9572	7923	12197	1022521	1008481
PL51	1148.3	1263.6	115.4	29847	30465	26514	43609	2982128	2878410
PL52	385.1	411.8	26.6	9177	9809	7786	12368	1089586	1037088
PL61	732.9	806.3	73.3	23253	20027	15820	25176	2100106	2066136
PL62	559.4	603.9	44.5	16339	12811	9778	14908	1463520	1426155
PL63	794.8	841.2	46.4	27430	19574	18972	29626	2185673	2210920
PT11	1811.7	1983.4	171.7	34631	31422	42877	58248	3603618	3745236
PT15	203.1	218.3	15.3	4942	4767	5846	9184	369298	426386
PT16	1292.7	1367.2	74.5	20156	27072	28377	38439	2302787	2385911
PT17	1327.5	1446.4	118.9	32770	25547	53818	76518	2629432	2808414
PT18	333.2	366	32.8	6558	10593	9740	13702	764468	760933
RO11	1127.7	1172.3	44.7	29043	31377	12716	28285	2783336	2724176
RO12	1027.4	1122.9	95.5	27823	28049	12732	28165	2558842	2524628
RO21	1673.7	1753	79.3	42752	40843	12905	26821	3738143	3722553
RO22	1155.5	1245.5	90	28217	32805	12673	27338	2887844	2825756
RO31	1485.2	1593.3	108.1	31595	42917	13534	32084	3423331	3292036
RO32	1032.4	1068.3	35.9	24301	24534	19513	63669	2211126	2242002
RO41	1039.9	1112.3	72.4	19686	29315	9889	20506	2375948	2270776
RO42	827.4	877.1	49.7	18483	23362	11040	24437	1967861	1926700
SE11	1045.3	1102.7	57.4	27948	15540	56442	82668	1783440	1949516
SE12	742.4	797.1	54.7	17369	15680	28524	40548	1492338	1534529
SE21	411.6	433.3	21.7	8597	8699	15816	22425	801884	805353
